Time,Offset
1922-01-01 07:00:00,-07:00
1927-06-11 06:00:00,-06:00
1930-11-15 06:00:00,-07:00
1931-05-02 06:00:00,-06:00
1931-10-01 06:00:00,-07:00
1932-04-01 07:00:00,-06:00
1996-04-07 08:00:00,-05:00
1996-10-27 07:00:00,-06:00
1997-04-06 08:00:00,-05:00
1997-10-26 07:00:00,-06:00
1998-04-05 09:00:00,-06:00
1998-10-25 08:00:00,-07:00
1999-04-04 09:00:00,-06:00
1999-10-31 08:00:00,-07:00
2000-04-02 09:00:00,-06:00
2000-10-29 08:00:00,-07:00
2001-05-06 09:00:00,-06:00
2001-09-30 08:00:00,-07:00
2002-04-07 09:00:00,-06:00
2002-10-27 08:00:00,-07:00
2003-04-06 09:00:00,-06:00
2003-10-26 08:00:00,-07:00
2004-04-04 09:00:00,-06:00
2004-10-31 08:00:00,-07:00
2005-04-03 09:00:00,-06:00
2005-10-30 08:00:00,-07:00
2006-04-02 09:00:00,-06:00
2006-10-29 08:00:00,-07:00
2007-04-01 09:00:00,-06:00
2007-10-28 08:00:00,-07:00
2008-04-06 09:00:00,-06:00
2008-10-26 08:00:00,-07:00
2009-04-05 09:00:00,-06:00
2009-10-25 08:00:00,-07:00
2010-03-14 09:00:00,-06:00
2010-11-07 08:00:00,-07:00
2011-03-13 09:00:00,-06:00
2011-11-06 08:00:00,-07:00
2012-03-11 09:00:00,-06:00
2012-11-04 08:00:00,-07:00
2013-03-10 09:00:00,-06:00
2013-11-03 08:00:00,-07:00
2014-03-09 09:00:00,-06:00
2014-11-02 08:00:00,-07:00
2015-03-08 09:00:00,-06:00
2015-11-01 08:00:00,-07:00
2016-03-13 09:00:00,-06:00
2016-11-06 08:00:00,-07:00
2017-03-12 09:00:00,-06:00
2017-11-05 08:00:00,-07:00
2018-03-11 09:00:00,-06:00
2018-11-04 08:00:00,-07:00
2019-03-10 09:00:00,-06:00
2019-11-03 08:00:00,-07:00
2020-03-08 09:00:00,-06:00
2020-11-01 08:00:00,-07:00
2021-03-14 09:00:00,-06:00
2021-11-07 08:00:00,-07:00
2022-03-13 09:00:00,-06:00
2022-10-30 08:00:00,-06:00
2022-11-30 06:00:00,-07:00
2023-03-12 09:00:00,-06:00
2023-11-05 08:00:00,-07:00
2024-03-10 09:00:00,-06:00
2024-11-03 08:00:00,-07:00
2025-03-09 09:00:00,-06:00
2025-11-02 08:00:00,-07:00
2026-03-08 09:00:00,-06:00
2026-11-01 08:00:00,-07:00
2027-03-14 09:00:00,-06:00
2027-11-07 08:00:00,-07:00
2028-03-12 09:00:00,-06:00
2028-11-05 08:00:00,-07:00
2029-03-11 09:00:00,-06:00
2029-11-04 08:00:00,-07:00
2030-03-10 09:00:00,-06:00
2030-11-03 08:00:00,-07:00
2031-03-09 09:00:00,-06:00
2031-11-02 08:00:00,-07:00
2032-03-14 09:00:00,-06:00
2032-11-07 08:00:00,-07:00
2033-03-13 09:00:00,-06:00
2033-11-06 08:00:00,-07:00
2034-03-12 09:00:00,-06:00
2034-11-05 08:00:00,-07:00
2035-03-11 09:00:00,-06:00
2035-11-04 08:00:00,-07:00
2036-03-09 09:00:00,-06:00
2036-11-02 08:00:00,-07:00
2037-03-08 09:00:00,-06:00
2037-11-01 08:00:00,-07:00
